site_id,lat,lon,tier
J330,37.419129005655805,-122.08077373794707,5
J331,37.38055913087938,-122.07038874025626,3
J332,37.38028034023233,-122.0686596483431,3
J333,37.41105240500795,-122.09372903358974,3
J334,37.39929476828049,-122.08052981902503,5
J335,37.4001593504308,-122.0801085707606,5
J336,37.39920160254062,-122.07951505054864,5
J337,37.39991210003657,-122.07913398644325,5
J338,37.39908945001187,-122.07836105001132,5
J339,37.39866884632798,-122.07843997958288,5
J340,37.39778691094947,-122.07547144561573,3
J341,37.397436600010806,-122.07633630000849,3
J342,37.39750175302909,-122.07687671823179,3
J343,37.39699545512415,-122.07665205822062,3
J344,37.39649827568375,-122.07700656529528,3
J345,37.39570472080563,-122.07726387783697,3
J346,37.39832763031671,-122.07877528347656,5
J347,37.38956247716835,-122.08061469930794,3
J348,37.400715150036405,-122.10304624995622,3
J349,37.384774798644166,-122.08349376197786,3
J350,37.3891996449782,-122.0659554014378,3
J351,37.389794734379294,-122.06565680965001,3
J352,37.430271293897476,-122.09812233323144,5
J353,37.408405500023534,-122.09831839995705,3
J354,37.40856669862604,-122.09798786111935,3
J355,37.40929712181405,-122.09791756830278,3
J356,37.369609570005004,-122.07289408898943,3
J357,37.43186856818937,-122.09576592699506,5
J358,37.43001384555517,-122.09551007846247,5
J359,37.42874168325099,-122.09593054581259,5
J360,37.426974510951915,-122.09448180336923,3
J361,37.42659807517293,-122.09375708528951,3
J362,37.41854630079252,-122.09082046373571,3
J363,37.419180408537045,-122.09136021962183,3
J364,37.41910484837826,-122.09256479863932,3
J365,37.41927812540203,-122.09209061732447,3
J366,37.41833126225556,-122.09122949147948,3
J367,37.398855173357695,-122.09493973805222,5
J368,37.394370881602725,-122.08306195859377,5
J369,37.396413360604875,-122.0957811198377,5
J370,37.395963289750455,-122.09605286138228,5
J371,37.39621767985791,-122.09651416856796,5
J372,37.395834189076325,-122.09563653376293,5
J373,37.39622529999413,-122.09538300012022,5
J374,37.418525584481884,-122.08970020334196,3
J375,37.41809151804329,-122.08940761549302,3
J376,37.41785639843603,-122.08945432738741,5
J377,37.395904415884736,-122.08007235296864,3
J378,37.39990530453757,-122.074169627222,3
J379,37.37890791185287,-122.0827803950039,5
J380,37.37907705118888,-122.08146167214588,5
J381,37.39888480652519,-122.07584030107321,3
J382,37.40261946273753,-122.09813238958043,3
J383,37.43127611148256,-122.09751594558948,5
J384,37.431820528562476,-122.09781454834362,5
J385,37.42982667988973,-122.09739406886531,5
J386,37.430437297077184,-122.09672125714403,5
